WRC152M	WRC152MF	WRC154M	WRC154MF	WRC156M	WRC156MF	WRC158M	WRC158MF	WRC15AVRP2M	WRC15AVRP2MF	WRC15AVRP4M	WRC15AVRP4MF	WRC15AVRP6M	WRC15AVRP6MF	WRC15AVRP8M	WRC15AVRP8MF	WRC15AVRS2M	WRC15AVRS2MF	WRC15AVRS4M	WRC15AVRS4MF	WRC15AVRS6M	WRC15AVRS6MF	WRC15AVRS8M	WRC15AVRS8MF	WRC15ECRP2M	WRC15ECRP2MF	WRC15ECRP4M	WRC15ECRP4MF	WRC15ECRP6M	WRC15ECRP6MF	WRC15ECRP8M	WRC15ECRP8MF	WRC15ECRS2M	WRC15ECRS2MF	WRC15ECRS4M	WRC15ECRS4MF	WRC15ECRS6M	WRC15ECRS6MF	WRC15ECRS8M	WRC15ECRS8MF
WRC152M	0	0.493521167176305	0.371156905545895	0.46114634875303	0.351920819333684	0.436214784493137	0.396332740907712	0.50652572029519	0.268775264165662	0.449127288207748	0.443260074467034	0.573947385458705	0.454766825896342	0.423124563797212	0.488675157896878	0.3954806551706	0.276367051179554	0.660436484203201	0.446725177193471	0.573521186376623	0.462580320539787	0.427399683455917	0.562088974854932	0.474598301227659	0.301968308489085	0.441250252583747	0.48970714139639	0.51429623401531	0.750770382743427	0.578374623755499	0.446060827559906	0.626478513977743	0.510514094278176	0.59634879504364	0.394518743060898	0.474656508230023	0.46271774404118	0.463221553273023	0.396135265700483	0.530667641269878
WRC152MF	0.493521167176305	0	0.598702068280001	0.304841207558701	0.562667037179309	0.420546678278011	0.610835950423129	0.410476494329956	0.507869249394673	0.314090951460403	0.54331882128097	0.425366777094179	0.523150603538687	0.467953911461492	0.541842930773886	0.456237712693561	0.560278282621016	0.527080684355505	0.584383805427851	0.562948757971725	0.543668061944824	0.423242281464059	0.612047920493395	0.432320992173286	0.564075373195204	0.326415584935096	0.528641200537572	0.460255923301594	0.832305240957085	0.492722560063802	0.52263980455808	0.48642780988866	0.587045007378259	0.401064029542467	0.545377798136658	0.433106292570143	0.570770175091811	0.437506269621594	0.539871330920788	0.486371399147062
WRC154M	0.371156905545895	0.598702068280001	0	0.5183554502787	0.277960902059332	0.467812507965098	0.248651027385667	0.555823602835363	0.460541506022784	0.549780242835701	0.53450007423127	0.65594218103398	0.500471273385954	0.442921557154167	0.570636537893902	0.427935914790312	0.44110857714985	0.744104534900919	0.548194963133199	0.615554655597179	0.535095851115931	0.506232528526378	0.640923778570915	0.556870721438377	0.417920818426421	0.569776602775942	0.595002966624564	0.585262169055787	0.724839862375679	0.668852459016393	0.518991384744694	0.696226490216316	0.638862415853566	0.687861450440699	0.48918042786378	0.569830153747082	0.523953530283117	0.534199092633044	0.488607325383305	0.595729891961606
WRC154MF	0.46114634875303	0.304841207558701	0.5183554502787	0	0.466897203095485	0.314396495740644	0.531618345220483	0.326793990144024	0.485649817430612	0.368763155806316	0.515142456067381	0.48881342389133	0.510916055255899	0.458782562110761	0.479444214456981	0.425049664736555	0.556745778552621	0.521035560231666	0.56005424388887	0.609863424822817	0.512735103344632	0.399382354202708	0.570520334222686	0.430750916430323	0.554356257067295	0.381687853502828	0.500352239194461	0.48489205136824	0.838328770525245	0.483209658562191	0.467992926613616	0.477784933977885	0.556940113652922	0.462114341602205	0.506813370730341	0.431693461322222	0.521103212259946	0.431875272188834	0.51786022433132	0.468413389780327
WRC156M	0.351920819333684	0.562667037179309	0.277960902059332	0.466897203095485	0	0.377283534919439	0.305244192077748	0.454918349712703	0.38900705658965	0.521480818841856	0.424904712928792	0.652874118442663	0.444819644925253	0.45656973687851	0.436077854239633	0.391907802264488	0.446433950266073	0.666528684714128	0.452474315418935	0.659202202969333	0.404689972665803	0.418669553304129	0.52478620926572	0.458458209444385	0.423793737626952	0.520587776911945	0.503399715642561	0.560358077616221	0.78242385232158	0.556240853577415	0.382297000731529	0.598080466788042	0.544342548437656	0.619766769795669	0.389953044957045	0.475196743444926	0.393207151087837	0.451877987240764	0.40254377715079	0.502642934765407
WRC156MF	0.436214784493137	0.420546678278011	0.467812507965098	0.314396495740644	0.377283534919439	0	0.46839304506393	0.300435837848835	0.445547993290029	0.392281956664334	0.463274476298968	0.525949817461791	0.458213110787709	0.44680997627771	0.406168946683723	0.391108983094545	0.537417146818005	0.517058535700988	0.510379698917753	0.636646718240646	0.427312524153136	0.330056101760818	0.493391821349273	0.371805765615619	0.536560349093526	0.416197384574713	0.447591981842761	0.474104522353144	0.837573352424224	0.439181442536723	0.409809328032103	0.459792657652974	0.494738579387979	0.467800258037641	0.4392945107563	0.388612226145803	0.444893468867346	0.371962844690672	0.454465409720352	0.437521397801125
WRC158M	0.396332740907712	0.610835950423129	0.248651027385667	0.531618345220483	0.305244192077748	0.46839304506393	0	0.541039320897407	0.482948427122906	0.563716278969308	0.552861516360594	0.661140339070336	0.505707641898319	0.451381299542103	0.565500424239399	0.41734434642734	0.457595383314819	0.752807614891176	0.562076966311026	0.622550558841751	0.545748408970293	0.511317637546107	0.642352882167802	0.556584219980655	0.414442058650896	0.581880127790102	0.610322881999183	0.581903499659706	0.722898550724638	0.678229203771685	0.515474650065962	0.689523727679531	0.639144728111053	0.696328138021388	0.510419648762574	0.569083135391924	0.525078038199037	0.544450010597098	0.470058616396561	0.597964561123601
WRC158MF	0.50652572029519	0.410476494329956	0.555823602835363	0.326793990144024	0.454918349712703	0.300435837848835	0.541039320897407	0	0.496206475403493	0.437823072915971	0.518486843065427	0.567667656785352	0.519611719584042	0.513950379762484	0.444634145105807	0.441362102947581	0.58396301548144	0.503799504766988	0.561321295989034	0.686865858124556	0.487794687804037	0.379899117356328	0.53374816510797	0.397396358281379	0.582456351837342	0.440057349375301	0.507416869257077	0.500621065108917	0.864481399407762	0.444485319223458	0.443770250703352	0.375587942575904	0.542837188261407	0.45019757643159	0.50498942784107	0.405626100772234	0.493790385945984	0.412742795362189	0.510405711612661	0.418071365118602
WRC15AVRP2M	0.268775264165662	0.507869249394673	0.460541506022784	0.485649817430612	0.38900705658965	0.445547993290029	0.482948427122906	0.496206475403493	0	0.461024660036992	0.329993112687036	0.596363812194768	0.456586912782977	0.446597047173208	0.387168847749761	0.413488548389609	0.273008533261851	0.588198689080513	0.335288816058992	0.604835982414609	0.396509654148101	0.402671384193464	0.460283382216625	0.425231484225876	0.3463676667214	0.410130813629577	0.441733368176202	0.528611385566747	0.789669747116556	0.473574357062989	0.345071195871006	0.567893009871376	0.434826136287793	0.560832879695155	0.309777846718848	0.416648067816143	0.383199552414336	0.42387747141068	0.377129280975435	0.492695322261054
WRC15AVRP2MF	0.449127288207748	0.314090951460403	0.549780242835701	0.368763155806316	0.521480818841856	0.392281956664334	0.563716278969308	0.437823072915971	0.461024660036992	0	0.499056302883623	0.38335701063326	0.4598464393453	0.358981374072534	0.525498613046152	0.368181724867073	0.485547252019965	0.536545158742831	0.536320128597002	0.496163830400923	0.489952250177512	0.362595531855131	0.595971756379172	0.394042899895022	0.488699175227898	0.258534260599428	0.501406086850686	0.40342467085432	0.787835660999984	0.500088654593764	0.495057017655324	0.50992846232459	0.570071974853516	0.393991984360386	0.483046764681452	0.36554314345228	0.519423081277312	0.361786269356269	0.489799450586027	0.45217609922342
WRC15AVRP4M	0.443260074467034	0.54331882128097	0.53450007423127	0.515142456067381	0.424904712928792	0.463274476298968	0.552861516360594	0.518486843065427	0.329993112687036	0.499056302883623	0	0.61552492584897	0.42250923191229	0.52533833887455	0.262189375115737	0.488668787373251	0.453212856773688	0.530815407605102	0.20292388368028	0.668889536109912	0.308988509760561	0.41927856280622	0.324590000124905	0.404629061822471	0.497651712350974	0.46122049506382	0.351715675928193	0.564376173079165	0.825705079849599	0.393892607565832	0.234976519926672	0.52802414947523	0.396762095769162	0.545992018815319	0.236834597244872	0.39907268110305	0.294569341265282	0.410957623921388	0.347078500175074	0.474020594153154
WRC15AVRP4MF	0.573947385458705	0.425366777094179	0.65594218103398	0.48881342389133	0.652874118442663	0.525949817461791	0.661140339070336	0.567667656785352	0.596363812194768	0.38335701063326	0.61552492584897	0	0.463763286951217	0.469042205190009	0.637043437691997	0.519816980285497	0.601180852465299	0.609874047339676	0.635243110923399	0.457324732882609	0.579031374324035	0.496369572198237	0.68332939587763	0.487797489366117	0.606318393517525	0.460327180062082	0.548797067442774	0.348257536565866	0.766811957909567	0.590322207980107	0.62680565555062	0.600128114571031	0.655437874225471	0.507191666607534	0.598866039927052	0.46453608687304	0.612585119496404	0.463124651681219	0.556219018643313	0.570980677553691
WRC15AVRP6M	0.454766825896342	0.523150603538687	0.500471273385954	0.510916055255899	0.444819644925253	0.458213110787709	0.505707641898319	0.519611719584042	0.456586912782977	0.4598464393453	0.42250923191229	0.463763286951217	0	0.444587214905236	0.460688920014378	0.446517287849227	0.482159718138114	0.606753686804513	0.442228657014478	0.588150388342841	0.32376768577699	0.383963357066586	0.518031461619814	0.384634962748153	0.488288960910412	0.485527228581339	0.341129149564568	0.359890895912412	0.768896032022804	0.513614998887129	0.423348183135634	0.572510787222711	0.514485103044764	0.547434167790936	0.395377526511005	0.373746567157092	0.397393482963965	0.375845642688443	0.351468247912625	0.499421503539847
WRC15AVRP6MF	0.423124563797212	0.467953911461492	0.442921557154167	0.458782562110761	0.45656973687851	0.44680997627771	0.451381299542103	0.513950379762484	0.446597047173208	0.358981374072534	0.52533833887455	0.469042205190009	0.444587214905236	0	0.573541152692565	0.236723684039891	0.416218290888673	0.689876830514247	0.533298659887522	0.423448562737774	0.507698719170764	0.355983244993962	0.639507701638889	0.423421996552849	0.37210657344139	0.391216920975945	0.576298270935816	0.396663072057772	0.692092596837039	0.608117444380858	0.508693930218594	0.608036316183337	0.612092357504526	0.549205827453835	0.47414542511416	0.420695953090455	0.512229689979142	0.398627439511805	0.464422415799988	0.511861068838958
